"Story","Title","Result","Date","Stability","Duration (s)"
"Admin app security","Admin site login page","PENDING","2018-10-16T21:29:02.145+03:00","0.0","0.0"
"Web application landing page","Apply to a job","PENDING","2018-10-16T21:29:44.604+03:00","0.0","0.0"
"Admin app security","Disable an operator","PENDING","2018-10-16T21:29:12.753+03:00","0.0","0.01"
"Manage jobs specs","Expose jobs to searchers","PENDING","2018-10-16T21:29:24.588+03:00","0.0","0.03"
"Web application landing page","Filter jobs","PENDING","2018-10-16T21:29:33.721+03:00","0.0","0.0"
"Manage jobs specs","Import jobs from sources","PENDING","2018-10-16T21:29:20.519+03:00","0.0","0.0"
"Admin application landing page","Landing on admin site","PENDING","2018-10-16T21:29:00.391+03:00","0.0","0.01"
"Web application landing page","List of jobs","PENDING","2018-10-16T21:29:29.200+03:00","0.0","0.01"
"Admin app security","Login in application as admin","PENDING","2018-10-16T21:29:04.279+03:00","0.0","0.01"
"Manage jobs","Login in application as operator","PENDING","2018-10-16T21:28:54.912+03:00","0.0","0.41"
"Admin app security","Logout from application","PENDING","2018-10-16T21:29:06.521+03:00","0.0","0.01"
"Manage jobs","Manage application jobs specs","PENDING","2018-10-16T21:28:58.900+03:00","0.0","0.01"
"Admin app security","Manage application settings","PENDING","2018-10-16T21:29:16.409+03:00","0.0","0.01"
"Admin app security","Manage application users","PENDING","2018-10-16T21:29:09.527+03:00","0.0","0.02"
"Manage jobs","Not able to manage users as operator","PENDING","2018-10-16T21:28:57.704+03:00","0.0","0.01"
"Application monetization","Post a job offer","PENDING","2018-10-16T21:29:56.467+03:00","0.0","0.01"
"Web application landing page","Search jobs by criteria","PENDING","2018-10-16T21:29:38.869+03:00","0.0","0.01"
"Web application landing page","Subscribe for job offers","PENDING","2018-10-16T21:29:50.584+03:00","0.0","0.0"
